"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"127" 126 0 12081633 "17123.00000000" "4585.00000000" ".00000000" "17157.59375000" "4580.78125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 64 "45.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"128" 127 0 12175916 "17123.00000000" "4585.00000000" ".00000000" "17157.59375000" "4580.78125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 65 "46.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"129" 128 0 12265956 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 66 "46.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"130" 129 0 12339711 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 67 "47.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"131" 130 0 12396174 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 68 "48.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"132" 131 0 12489800 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 69 "49.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"133" 132 0 12551652 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 70 "50.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"134" 133 0 12664999 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 71 "51.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"135" 134 0 12742565 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 72 "52.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"136" 135 0 12833197 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 73 "53.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"137" 136 0 12910257 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 74 "54.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"138" 137 0 12983634 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 75 "55.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"139" 138 0 13049607 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 76 "56.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"140" 139 0 13134084 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 77 "57.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"141" 140 0 13232948 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 78 "58.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"142" 141 0 13332676 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 79 "59.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"143" 142 0 13408522 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 80 "60.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"144" 143 0 13491485 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 81 "61.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"145" 144 0 13575087 "17123.00000000" "4585.00000000" ".00000000" "17155.50000000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 82 "62.78125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"146" 145 0 13650300 "17123.00000000" "4585.00000000" ".00000000" "17153.40625000" "4580.90625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 83 "62.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"147" 146 0 13715813 "17123.00000000" "4585.00000000" ".00000000" "17151.31250000" "4581.03125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 84 "61.68750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"148" 147 0 13819748 "17123.00000000" "4585.00000000" ".00000000" "17149.21875000" "4581.15625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 85 "60.53125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"149" 148 0 13917347 "17123.00000000" "4585.00000000" ".00000000" "17147.12500000" "4581.28125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 86 "59.03125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"150" 149 0 13996160 "17123.00000000" "4585.00000000" ".00000000" "17147.12500000" "4581.28125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 87 "60.03125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
