"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"108" 107 0 8196128 24756 4630 0 24964.71875 4523.84375 0 4 4 11 10.3125 11 36.03125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"109" 108 0 8273460 24756 4630 0 24964.71875 4523.84375 0 4 4 11 10.3125 12 37.03125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"110" 109 0 8364497 24756 4630 0 24963.34375 4531.875 0 4 4 11 10.375 13 36.8125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"111" 110 0 8465189 24756 4630 0 24933.78125 4550.9375 0 4 4 11 10.5 14 35.21875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"112" 111 0 8557706 24756 4630 0 24919 4560.46875 0 4 4 11 10.5625 15 34.5 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"113" 112 0 8627549 24756 4630 0 24902.25 4578.03125 0 4 4 11 10.6875 16 31.8125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"114" 113 0 8701515 24756 4630 0 24885.0625 4595.59375 0 4 4 11 10.8125 17 28.625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"115" 114 0 8777164 24756 4630 0 24885.0625 4595.59375 0 4 4 11 10.8125 18 29.625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"116" 115 0 8871555 24756 4630 0 24869.1875 4605.125 0 4 4 11 10.875 19 28.09375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"117" 116 0 8929733 24756 4630 0 24854.40625 4614.65625 0 4 4 11 10.9375 20 26.46875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"118" 117 0 9012166 24756 4630 0 24854.40625 4614.65625 0 4 4 11 10.9375 21 27.46875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"119" 118 0 9091548 24756 4630 0 24853.03125 4622.6875 0 4 4 11 11 22 25.59375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"120" 119 0 9200340 24756 4630 0 24853.03125 4622.6875 0 4 4 11 11 23 26.59375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"121" 120 0 9264495 24756 4630 0 24853.03125 4622.6875 0 4 4 11 11 24 27.59375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"122" 121 0 9326111 24756 4630 0 24838.53125 4624.1875 0 4 4 11 11 25 28.5 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"123" 122 0 9392596 24756 4630 0 24838.53125 4624.1875 0 4 4 11 11 26 29.5 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"124" 123 0 9476647 24756 4630 0 24838.53125 4624.1875 0 4 4 11 11 27 30.5 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"125" 124 0 9536758 24756 4630 0 24838.53125 4624.1875 0 4 4 11 11 28 31.5 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"126" 125 0 9632139 24756 4630 0 24838.53125 4624.1875 0 4 4 11 11 29 32.5 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"127" 126 0 9700566 24756 4630 0 24813 4627.21875 0 4 4 11 11 30 32.65625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"128" 127 0 9779508 24756 4630 0 24813 4627.21875 0 4 4 11 11 31 33.65625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"129" 128 0 9851871 24756 4630 0 24813 4627.21875 0 4 4 11 11 32 34.65625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"130" 129 0 9925432 24756 4630 0 24813 4627.21875 0 4 4 11 11 33 35.65625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"131" 130 0 10002246 24756 4630 0 24813 4627.21875 0 4 4 11 11 34 36.65625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"132" 131 0 10067707 24756 4630 0 24813 4627.21875 0 4 4 11 11 35 37.65625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"133" 132 0 10160773 24756 4630 0 24813 4627.21875 0 4 4 11 11 36 38.65625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"134" 133 0 10241701 24756 4630 0 24813 4627.21875 0 4 4 11 11 37 39.65625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"135" 134 0 10314364 24756 4630 0 24799.59375 4628.71875 0 4 4 11 11 38 39.875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"136" 135 0 10388530 24756 4630 0 24785.21875 4629.9375 0 4 4 11 11 39 37.53125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"137" 136 0 10466760 24756 4630 0 24785.21875 4629.9375 0 4 4 11 11 40 38.53125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"138" 137 0 10547214 24756 4630 0 24785.21875 4629.9375 0 4 4 11 11 41 39.53125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"139" 138 0 10644280 24756 4630 0 24785.21875 4629.9375 0 4 4 11 11 42 40.53125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"140" 139 0 10726030 24756 4630 0 24785.21875 4629.9375 0 4 4 11 11 43 41.53125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"141" 140 0 10802043 24756 4630 0 24784.0625 4630 0 4 4 11 11 44 41.46875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"142" 141 0 10866124 24756 4630 0 24783.46875 4630 0 4 4 11 11 45 42.28125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"143" 142 0 10938275 24756 4630 0 24783.46875 4630 0 4 4 11 11 46 43.28125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"144" 143 0 11034083 24756 4630 0 24783.46875 4630 0 4 4 11 11 47 44.28125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"145" 144 0 11133145 24756 4630 0 24783.46875 4630 0 4 4 11 11 48 45.28125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"146" 145 0 11220020 24756 4630 0 24783.46875 4630 0 4 4 11 11 49 46.28125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"147" 146 0 11301930 24756 4630 0 24783.46875 4630 0 4 4 11 11 50 47.28125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"148" 147 0 11371453 24756 4630 0 24782.875 4630 0 4 4 11 11 51 47.90625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"149" 148 0 11473573 24756 4630 0 24782.875 4630 0 4 4 11 11 52 48.90625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"150" 149 0 11546918 24756 4630 0 24782.875 4630 0 4 4 11 11 53 49.90625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
