"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"41" 40 0 3439548 24729 4622 0 25584.65625 4435.40625 0 4 4.03125 11 10.25 30 17.46875 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"42" 41 0 3508283 24729 4622 0 25551.3125 4424.75 0 4 4.03125 11 10.125 31 17.59375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"43" 42 0 3555977 24729 4622 0 25477.8125 4411.625 0 4 4.03125 11 9.9375 32 16.40625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"44" 43 0 3617944 24729 4622 0 25477.8125 4411.625 0 4 4.03125 11 9.9375 33 17.40625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"45" 44 0 3706277 24729 4622 0 25318.96875 4414.40625 0 4 4.03125 11 9.8125 34 16.5 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"46" 45 0 3761444 24729 4622 0 25252 4413.78125 0 4 4.03125 11 9.75 35 16.40625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"47" 46 0 3826579 24729 4622 0 25252 4413.78125 0 4 4.03125 11 9.75 36 17.40625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"48" 47 0 3883825 24722 4619 0 25219.71875 4406.5 0 4 4 11 9.6875 1 17.15625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"49" 48 0 3941293 24722 4619 0 25201.90625 4415.5625 0 4 4 11 9.75 2 17.90625 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"50" 49 0 4014690 24722 4619 0 25149.71875 4429.78125 0 4 4 11 9.8125 3 17.28125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"51" 50 0 4087864 24722 4619 0 25149.71875 4429.78125 0 4 4 11 9.8125 4 18.28125 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
"52" 51 0 4171289 24722 4619 0 25137.59375 4431.125 0 4 4 11 9.8125 5 19 "OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<7 THEN=GRANTED|OR  device_OS=>Android4.5.1 AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|AND NOT device_has_accessibility=true AND NOT password_length<7 THEN=GRANTED|" "fold0"
