"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"32" 31 0 2509428 24729 4633 0 25433 4504.40625 0 4 4.0625 11 10.5625 18 8.21875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"33" 32 0 2563491 24729 4633 0 25313.53125 4481.15625 0 4 4 11 10.3125 19 8.9375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"34" 33 0 2634905 24729 4633 0 25255.09375 4480.65625 0 4 4 11 10.25 20 9.84375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"35" 34 0 2689085 24729 4633 0 25251.125 4481.34375 0 4 4 11 10.25 21 10.125 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"36" 35 0 2760556 24729 4633 0 25240.71875 4475.34375 0 4 4 11 10.1875 22 10.71875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"37" 36 0 2812714 24729 4633 0 25172.0625 4468.46875 0 4 4 11 10.0625 23 9.71875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"38" 37 0 2877189 24729 4633 0 25119.09375 4475.09375 0 4 4 11 10.0625 24 10.09375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"39" 38 0 2990736 24729 4633 0 25119.09375 4475.09375 0 4 4 11 10.0625 25 11.09375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"40" 39 0 3061704 24729 4633 0 25111.25 4468.4375 0 4 4 11 10 26 11.5625 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"41" 40 0 3116117 24729 4633 0 25091.78125 4469.9375 0 4 4 11 10 27 11.15625 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"42" 41 0 3173865 24729 4633 0 25046.46875 4490.40625 0 4 4 11 10.125 28 11.15625 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"43" 42 0 3256618 24729 4633 0 25046.46875 4490.40625 0 4 4 11 10.125 29 12.15625 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"44" 43 0 3310002 24729 4633 0 25042.625 4490.75 0 4 4 11 10.125 30 12.9375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"45" 44 0 3386029 24729 4633 0 24998.9375 4510.375 0 4 4 11 10.25 31 12.53125 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"46" 45 0 3459300 24729 4633 0 24996.4375 4510.3125 0 4 4 11 10.25 32 13.46875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"47" 46 0 3527621 24729 4633 0 24996.4375 4510.3125 0 4 4 11 10.25 33 14.46875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"48" 47 0 3612681 24729 4633 0 24995.9375 4510.3125 0 4 4 11 10.25 34 14.9375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"49" 48 0 3674157 24729 4633 0 24948.21875 4538.5 0 4 4 11 10.4375 35 15 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"50" 49 0 3742729 24729 4633 0 24948.21875 4538.5 0 4 4 11 10.4375 36 16 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"51" 50 0 3811698 24729 4633 0 24930.3125 4547.96875 0 4 4 11 10.5 37 16.4375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"52" 51 0 3867674 24729 4633 0 24864.875 4587.15625 0 4 4 11 10.75 38 16.21875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"53" 52 0 3965975 24729 4633 0 24864.125 4595.3125 0 4 4 11 10.8125 39 16.625 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"54" 53 0 4026956 24729 4633 0 24849.21875 4604.96875 0 4 4 11 10.875 40 16.875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"55" 54 0 4094361 24729 4633 0 24815.21875 4624.59375 0 4 4 11 11 41 16.1875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"56" 55 0 4144241 24729 4633 0 24815.21875 4624.59375 0 4 4 11 11 42 17.1875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
